| 2022-05-11T18:07:02.283355+0300 | INFO | 226 Directory send OK.
| 2022-05-11T18:27:08.875196+0300 | DEBUG | CONNECTED TO ('213.226.112.19', 21) 
| 2022-05-11T18:27:10.823174+0300 | INFO | 226 Directory send OK.
| 2022-05-11T18:27:10.823611+0300 | DEBUG | CONNECTED TO ('213.226.112.19', 21) 
| 2022-05-11T18:30:15.336773+0300 | ERROR | Произошла ошибка: 
| 2022-05-11T18:30:18.017937+0300 | INFO | 226 Directory send OK.
| 2022-05-11T18:30:18.018674+0300 | DEBUG | CONNECTED TO ('213.226.112.19', 21) 
| 2022-05-11T18:30:18.915795+0300 | INFO | 226 Directory send OK.
| 2022-05-11T18:30:18.916182+0300 | DEBUG | CONNECTED TO ('213.226.112.19', 21) 
| 2022-05-11T18:31:08.750521+0300 | ERROR | Произошла ошибка: 
| 2022-05-11T18:31:26.474163+0300 | ERROR | Произошла ошибка: 
| 2022-05-11T18:31:32.103292+0300 | INFO | 226 Directory send OK.
| 2022-05-11T18:31:32.104122+0300 | DEBUG | CONNECTED TO ('213.226.112.19', 21) 
| 2022-05-11T18:31:34.021218+0300 | INFO | 226 Directory send OK.
| 2022-05-11T18:31:34.021756+0300 | DEBUG | CONNECTED TO ('213.226.112.19', 21) 
| 2022-05-11T18:31:38.033079+0300 | DEBUG | Подготовка папок...
| 2022-05-11T18:31:41.722055+0300 | DEBUG | Подготовка изображений для обучения...
| 2022-05-11T18:31:50.408475+0300 | ERROR | Произошла ошибка: 
| 2022-05-13T13:57:00.340872+0300 | INFO | 226 Directory send OK.
| 2022-05-13T13:57:00.356737+0300 | DEBUG | CONNECTED TO ('213.226.112.19', 21) 
| 2022-05-13T13:57:02.228914+0300 | INFO | 226 Directory send OK.
| 2022-05-13T13:57:02.229274+0300 | DEBUG | CONNECTED TO ('213.226.112.19', 21) 
| 2022-05-13T13:58:01.291021+0300 | ERROR | Произошла ошибка: 
| 2022-05-13T13:58:04.741718+0300 | INFO | 226 Directory send OK.
| 2022-05-13T13:58:04.742359+0300 | DEBUG | CONNECTED TO ('213.226.112.19', 21) 
| 2022-05-13T13:58:05.737059+0300 | INFO | 226 Directory send OK.
| 2022-05-13T13:58:05.737551+0300 | DEBUG | CONNECTED TO ('213.226.112.19', 21) 
| 2022-05-13T14:02:53.669182+0300 | ERROR | Произошла ошибка: 
| 2022-05-13T14:02:58.105155+0300 | INFO | 226 Directory send OK.
| 2022-05-13T14:02:58.105882+0300 | DEBUG | CONNECTED TO ('213.226.112.19', 21) 
| 2022-05-13T14:03:00.957070+0300 | INFO | 226 Directory send OK.
| 2022-05-13T14:03:00.958415+0300 | DEBUG | CONNECTED TO ('213.226.112.19', 21) 
| 2022-05-13T14:03:52.619009+0300 | ERROR | Произошла ошибка: 
| 2022-05-13T14:04:06.135235+0300 | INFO | 226 Directory send OK.
| 2022-05-13T14:04:06.135636+0300 | DEBUG | CONNECTED TO ('213.226.112.19', 21) 
| 2022-05-13T14:04:08.145284+0300 | INFO | 226 Directory send OK.
| 2022-05-13T14:04:08.145929+0300 | DEBUG | CONNECTED TO ('213.226.112.19', 21) 
| 2022-05-13T14:04:42.959024+0300 | ERROR | Произошла ошибка: 
| 2022-05-13T14:04:45.760742+0300 | INFO | 226 Directory send OK.
| 2022-05-13T14:04:45.761233+0300 | DEBUG | CONNECTED TO ('213.226.112.19', 21) 
| 2022-05-13T14:04:47.508760+0300 | INFO | 226 Directory send OK.
| 2022-05-13T14:04:47.508938+0300 | DEBUG | CONNECTED TO ('213.226.112.19', 21) 
| 2022-05-13T14:04:57.516970+0300 | DEBUG | Подготовка папок...
| 2022-05-13T14:05:01.800851+0300 | DEBUG | Подготовка изображений для обучения...
| 2022-05-13T14:05:13.316718+0300 | DEBUG | UPLOADED PHOTO
| 2022-05-13T14:05:19.113390+0300 | DEBUG | Started recording
| 2022-05-13T14:05:24.121722+0300 | DEBUG | Done
| 2022-05-13T14:05:25.310767+0300 | DEBUG | ['мне', 'очень']
| 2022-05-13T14:05:25.311776+0300 | DEBUG | Didn't find Sad or Happy
| 2022-05-13T14:05:25.363604+0300 | DEBUG | Started recording
| 2022-05-13T14:05:30.366455+0300 | DEBUG | Done
| 2022-05-13T14:05:33.030663+0300 | ERROR | Ничего не было сказано
| 2022-05-13T14:05:35.487947+0300 | DEBUG | Started recording
| 2022-05-13T14:05:40.491132+0300 | DEBUG | Done
| 2022-05-13T14:05:41.699746+0300 | DEBUG | ['Мне', 'очень', 'грустно']
| 2022-05-13T14:05:45.507974+0300 | DEBUG | Sad
| 2022-05-13T14:05:51.465916+0300 | DEBUG | uploaded AUDIO
